state_code,state_name,audit_status,authority_status,local_terms,enabling_authority_url,statewide_registry_status,statewide_registry_url,known_local_sources,map_source_count,map_record_count,coverage_status,confidence,last_researched,next_review_due,next_action,notes
GA,Georgia,in_progress,verified,Business Improvement District,https://www.legis.ga.gov/api/document/docs/default-source/house-budget-and-research-office-document-library/newsandhighlights/2020/2020_policy_brief_community_development_tools_series_business_improvement_districts.pdf?sfvrsn=5942aab8_2,not_located,,City of Rome 2025 BID ordinance; Columbus 2025-2034 BID management plan; Macon-Bibb urban redevelopment plan,1,3,substantial,high,2026-07-17,2026-10-15,Monitor municipal renewal records and search for any BID created after the statewide policy review.,Rome Uptown Columbus and Eisenhower Macon-Bibb are verified and mapped. Georgia Community Improvement Districts are a separate legal category and are excluded. Boundaries are generalized from official plans pending parcel-level GIS feeds.
HI,Hawaii,in_progress,verified,special improvement district; business improvement district; SID; BID,https://www.capitol.hawaii.gov/hrscurrent/Vol02_Ch0046-0115/HRS0046/HRS_0046-0080_0005.htm,not_located,,HRS §46-80.5 Special improvement district (official text) [State of Hawaii] https://www.capitol.hawaii.gov/hrscurrent/Vol02_Ch0046-0115/HRS0046/HRS_0046-0080_0005.htm; Revised Ordinances of Honolulu Chapter 28 Special Improvement Districts (incl. Appendix 28-A) [City and County of Honolulu] https://codelibrary.amlegal.com/codes/honolulu/latest/honolulu/0-0-0-36151; Hawaiʻi County Code Chapter 35 Business Improvement Districts [County of Hawaiʻi] https://www.hawaiicounty.gov/home/showpublisheddocument/80/637649760877470000; Maui County Ordinance 4382 / Special Improvement Districts (Title 3 / Chapter ~3.70 enabling) [County of Maui] https://www.mauicounty.gov/DocumentCenter/View/106635/Ord-4382?bidId=; Waikīkī Business Improvement District (SID No. 1 / BID) [City and County of Honolulu / Waikīkī] https://waikikibid.org/; Downtown Honolulu Business Improvement District (expanded from Fort Street Mall SID No. 2) [City and County of Honolulu / Downtown] https://www.dohobid.com/; Waikīkī Beach Special Improvement District Association [City and County of Honolulu / Waikīkī Beach] https://www.wbsida.org/overview; Kailua Village Business Improvement District [County of Hawaiʻi / Kailua-Kona] https://historickailuavillage.com/; Fort Street Mall Business Improvement District Association (predecessor/related to Downtown) [City and County of Honolulu] https://fortstreetmall.org/fort-streets-history/fort-street-mall-bida/; Bill 51 (2025) Downtown Honolulu BID establishing ordinance materials [City and County of Honolulu] https://hnldoc.ehawaii.gov/hnldoc/measure/3401,0,0,partial,high,2026-07-17,2026-10-15,"Compile exhaustive list of active SIDs/BIDs by reviewing county ordinance appendices, clerk records, and recent bills for all four counties (focus Maui/Kauai for any active ones); locate any parcel or boundary GIS layers or maps from district management associations or county finance/tax offices; confirm no statewide registry via DCCA, DBEDT, or AG.","Statewide enabling authority is HRS §46-80.5 (Special improvement district), allowing charter counties to enact ordinances creating SIDs for supplemental maintenance/security, environmental work, natural resources/hazards/climate adaptation, and other services/improvements that restore or promote business activity, with special assessments and optional bonds/association management (nonprofit under Ch. 414D). These are the legal equivalent of BIDs; Honolulu ROH Ch. 28 and Hawaii County Code Ch. 35 implement them (explicitly calling some BIDs); Maui Ord. 4382 (2016) adds enabling chapter for SIDs. Known active examples (Honolulu-centric): Waikiki SID/BID No. 1 (est. ~2000), Fort Street Mall SID No. 2 (expanded 2025 via Bill 51/Ord. to Downtown Honolulu BID), Waikiki Beach SID (2015). Hawaii County has Kailua Village BID under Ch. 35. Distinguish from: traditional improvement districts (HRS 46-80), community facilities districts (HRS 46-80.1), tax increment districts, zoning/design special districts (e.g., Honolulu zoning special districts GIS – different purpose), and HCDA improvement districts. No statewide registry, comprehensive official list, or unified GIS of BID/SID boundaries located; districts are local ordinances. Coverage is partial (authoritative enabling + major local codes + known district sites verified; full inventory of all active districts and boundaries incomplete). Failed or sparse searches for Kauai active districts and full statewide maps do not prove absence."
ID,Idaho,in_progress,verified,Business Improvement District; BID; Local Business Improvement District,https://legislature.idaho.gov/statutesrules/idstat/Title50/T50CH26/,not_located,,Downtown Boise Business Improvement District / Downtown Boise Association [Boise] https://downtownboise.org/about/business-improvement-district; Nampa Business Improvement District [Nampa] https://www.cityofnampa.us/1253/Business-Improvement-District; Downtown Caldwell Business Improvement District / Destination Caldwell [Caldwell] https://www.cityofcaldwell.org/Business/Business-Improvement-District-Information; Downtown Idaho Falls Business Improvement District [Idaho Falls] https://downtownidahofalls.com/about-us/business-improvement-district/; Coeur d'Alene Downtown Business Improvement District / Downtown Association [Coeur d'Alene] https://cdadowntown.com/about/; Downtown Lewiston Business Improvement District [Lewiston] https://www.cityoflewiston.org/661/Business-Improvement-District; Historic Downtown Pocatello Business Improvement District [Pocatello] https://www.historicdowntownpocatello.com/explore-downtown; Idaho Statutes Title 50 Chapter 26 Business Improvement Districts (full chapter) [Statewide] https://legislature.idaho.gov/statutesrules/idstat/Title50/T50CH26/; Idaho Code 50-1703A Local Business Improvement Districts [Statewide] https://legislature.idaho.gov/statutesrules/idstat/Title50/T50CH17/SECT50-1703A/,0,0,partial,medium,2026-07-17,2026-10-15,"Expand inventory via additional city municipal codes/ordinances, association directories (e.g., International Downtown Association, Association of Idaho Cities), and municipal GIS/open data portals for remaining cities (e.g., Twin Falls, Meridian status, Sandpoint current status); seek any boundary GeoJSON/shapefiles.","Enabling authority verified as Idaho Code Title 50 Chapter 26 (Business Improvement Districts, authorized 1980, purposes include parking, public space improvements, events, transportation, retail promotion; special assessments on businesses/business property; cities may contract for administration). Distinct from broader Local Improvement Districts (LIDs, Title 50 Chapter 17 for capital infrastructure like streets/utilities, financed by assessments/bonds). Separate limited provision at 50-1703A (Local Business Improvement Districts, 1987) for exterior building improvements to match city architectural themes (requires 100% parcel owner consent, assessed as LIDs, max 20% of market value). No statewide registry, inventory, or central GIS of BIDs located after statute, government, and open-data searches (failed search ≠ none exist). Known active BIDs per official/district sources in Boise (est. ~1987), Nampa (~1985), Caldwell, Idaho Falls (~1990s, renewal 2027), Coeur d'Alene (1990), Lewiston (2020), Pocatello (1991); Sandpoint had one historically (dissolution attempt ~2010 failed; current status unclear/possibly inactive per some planning docs). Meridian has discussed/proposed but documents note operating without one. DBA notes 'at least six' in Idaho (likely undercount). Boundaries available as maps/PDFs on several district/city pages but no statewide or easily downloadable GeoJSON/ArcGIS layers confirmed. Distinctions from urban renewal/URDs and other special districts observed. Candidate sources are research leads only."
IL,Illinois,in_progress,verified,Business Improvement District; BID; Special Service Area; SSA,https://www.ilga.gov/Legislation/ILCS/Articles?ActID=4518&ChapterID=14,not_located,,Business Improvement Districts (BID) and Special Service Areas (SSA) Program + Provider List [City of Chicago] https://www.chicago.gov/city/en/depts/dcd/supp_info/special_service_areassaprogram.html; Special Service Area (SSA) Provider List with maps [City of Chicago] https://www.chicago.gov/city/en/depts/dcd/supp_info/special_service_areasandproviderlist.html; Boundaries - Special Service Areas (GIS/open data) [City of Chicago] https://data.cityofchicago.org/Community-Economic-Development/Boundaries-Special-Service-Areas/cmr6-dn8c; SSA map / related SSA datasets [City of Chicago] https://data.cityofchicago.org/Community-Economic-Development/SSA-map/2k7v-9xvk; Special Service Areas [City of Peoria] https://www.peoriagov.org/1023/Special-Service-Areas; Special Service Area Districts (GIS) [Peoria County] https://data-peoriacountygis.opendata.arcgis.com/datasets/special-service-area-districts/explore; Special Service Area Tax District - Historical (GIS open data) [Cook County] https://hub-cookcountyil.opendata.arcgis.com/datasets/special-service-area-tax-district-historical-2023/about,0,0,partial,medium,2026-07-17,2026-10-15,"Search additional municipal/county GIS portals and clerk records for SSAs outside Chicago metro (e.g., other large cities, IDOR tax extension contacts or county assessors); confirm any active BIDs under new law; locate fuller SSA statute compilation or DOR internal inventory if public.","Illinois has two relevant tools. (1) Business Improvement District Law (65 ILCS 125/, P.A. 103-646, eff. 7-1-24) authorizes classic BIDs funded by district charges/assessments on property owners for services/improvements (marketing, security, cleaning, etc.). Applicability limited to municipalities with population exceeding 500,000 (i.e., Chicago only). Chicago DPD is accepting feasibility applications for 2027 BIDs; none appear active yet as law is recent. BIDs cannot overlap SSAs. (2) Longstanding equivalent is Special Service Areas under Special Service Area Tax Law (35 ILCS 200/27-5 et seq.), available statewide to municipalities and counties for special services/improvements funded by property taxes/levies only on the district (used extensively for BID-like downtown/business corridor services; Chicago alone has ~58 active SSAs with official lists, individual maps, citywide map PDF, and downloadable GIS boundaries). SSAs are created by local ordinance after notice/hearing/petition processes; ordinances and maps filed with county clerks/recorders. No central statewide public registry or inventory of all BIDs/SSAs located (DOR has historically tracked hundreds for tax purposes—e.g., >600 as of ~2011—but no public statewide list/GIS found). Distinguish from unrelated 'Business Districts' under 65 ILCS 5/11-74.3 (sales-tax financed redevelopment of blighted areas). Coverage strong for Chicago (authoritative lists + GIS); partial elsewhere via county GIS examples. Failed searches do not prove absence of districts. Use empty string for unsupported URLs."
IN,Indiana,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
IA,Iowa,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
KS,Kansas,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
KY,Kentucky,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
LA,Louisiana,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
ME,Maine,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
MD,Maryland,in_progress,verified,Business Improvement District; Special Benefits District; Community Benefits District,https://mgaleg.maryland.gov/2010rs/chapters_noln/ch_461_hb1182t.pdf,not_located,,Baltimore City special benefits law https://codes.baltimorecity.gov/us/md/cities/baltimore/code/14; Baltimore GIS sources in data/sources.json,3,6,partial,high,2026-07-16,2026-08-15,Find BIDs outside Baltimore and verify current statewide codification.,State enabling legislation and Baltimore local authority are verified. Current geometry covers six Baltimore districts only.
MA,Massachusetts,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
MI,Michigan,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
MN,Minnesota,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
MS,Mississippi,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
MO,Missouri,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
MT,Montana,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
NE,Nebraska,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
NV,Nevada,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
NH,New Hampshire,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
NJ,New Jersey,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
NM,New Mexico,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
NY,New York,in_progress,verified,Business Improvement District,https://www.nysenate.gov/legislation/laws/GMU/A19-A,not_located,,NYC BID open data https://data.cityofnewyork.us/d/7jdm-inj8; NYC FY25 trends report https://www.nyc.gov/assets/sbs/downloads/pdf/neighborhoods/fy25-bid-trends-report.pdf,1,76,needs_review,high,2026-07-16,2026-08-15,Add the two NYC BIDs missing from the current layer and research the rest of New York State.,New York law is verified. The May 2026 NYC report says 78 BIDs while the current map contains 76 NYC records.
NC,North Carolina,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
ND,North Dakota,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
OH,Ohio,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
OK,Oklahoma,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
OR,Oregon,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
PA,Pennsylvania,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
RI,Rhode Island,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
SC,South Carolina,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
SD,South Dakota,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
TN,Tennessee,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
TX,Texas,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
UT,Utah,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
VT,Vermont,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
VA,Virginia,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
WA,Washington,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
WV,West Virginia,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
WI,Wisconsin,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
WY,Wyoming,not_started,not_assessed,,,not_assessed,,,0,0,not_started,low,,,Research enabling authority and official local registries.,No determination has been made yet.
